,,,,
,,,,
,,,,
,,,,
,Time to Campus,Public Transport,Time to Nightlife,Public Transport
,Recoletos,34,Recoletos',0
,Trafalgar',29,Trafalgar',14
,Chueca-Justicia,30,Chueca-Justicia',18
,Castellana',31,Castellana',15
,Goya',37,Goya',15
,Lista',33,Lista',18
,Almagro',37,Almagro',14
,Malasaña-Universidad',30,Malasaña-Universidad',31
,Ibiza',37,Ibiza',14
,El Viso',27,El Viso',20
,Argüelles',40,Argüelles',32
,Lavapiés-Embajadores',36,Lavapiés-Embajadores',24
,Fuente del Berro',43,Fuente del Berro',20
,Palacio',43,Palacio',33
,Arapiles',28,Arapiles',35
,Jerónimos',46,Jerónimos',16
,Nuevos Ministerios-Ríos Rosas',19,Nuevos Ministerios-Ríos Rosas',15
,Sol',24,Sol',22
,Gaztambide',34,Gaztambide',34
,Palos de Moguer',41,Palos de Moguer',30
,Prosperidad',30,Prosperidad',23
,Ciudad Jardín',28,Ciudad Jardín',24
,Bernabéu-Hispanoamérica',26,Bernabéu-Hispanoamérica',27
,Imperial',45,Imperial',39
,Adelfas',39,Adelfas',30
,Huertas-Cortes',36,Huertas-Cortes',19
,Timón',52,Timón',66
,Bellas Vistas',26,Bellas Vistas',35
,Cuatro Caminos',28,Cuatro Caminos',22
,Colina',41,Colina',32
,Vallehermoso',33,Vallehermoso',31
,Nueva España',20,Nueva España',28
,Guindalera',35,Guindalera',24
,Legazpi',44,Legazpi',37
,Delicias',44,Delicias',53
,Chopera',53,Chopera',35
,Conde Orgaz-Piovera',44,Conde Orgaz-Piovera',48
,Pacífico',33,Pacífico',29
,Montecarmelo',25,Montecarmelo',54
,Acacias',40,Acacias',41
,Berruguete',27,Berruguete',30
,Cuzco-Castillejos',19,Cuzco-Castillejos',25
,Virgen del Cortijo - Manoteras',25,Virgen del Cortijo - Manoteras',49
,Valdemarín',48,Valdemarín',71
,Casco Histórico de Barajas',47,Casco Histórico de Barajas',58
,Valdeacederas',29,Valdeacederas',43
,Pilar',18,Pilar',45
,Sanchinarro',29,Sanchinarro',60
,Peñagrande',22,Peñagrande',55
,Casa de Campo',39,Casa de Campo',28
,Las Tablas',44,Las Tablas',54
,Castilla',17,Castilla',38
,Costillares',30,Costillares',42
,San Juan Bautista',44,San Juan Bautista',33
,Arroyo del Fresno',29,Arroyo del Fresno',51
,Estrella',39,Estrella',22
,Canillas',44,Canillas',38
,Concepción',52,Concepción',34
,San Pascual',46,San Pascual',31
,Ventilla-Almenara',15,Ventilla-Almenara',28
,Atalaya',30,Atalaya',33
,Valdezarza',34,Valdezarza',50
,Quintana',41,Quintana',25
,Pinar del Rey',33,Pinar del Rey',48
,Mirasierra',32,Mirasierra',41
,Campo de las Naciones-Corralejos',57,Campo de las Naciones-Corralejos',59
,El Pardo',54,El Pardo',65
,Aravaca',50,Aravaca',66
,Ventas',42,Ventas',18
,Puerta del Ángel',48,Puerta del Ángel',36
,Niño Jesús',44,Niño Jesús',30
,Palomas',53,Palomas',40
,Tres Olivos - Valverde',18,Tres Olivos - Valverde',44
,Valdebebas - Valdefuentes',43,Valdebebas - Valdefuentes',57
,Pueblo Nuevo',43,Pueblo Nuevo',22
,El Plantío',68,El Plantío',69
,Pau de Carabanchel',58,Pau de Carabanchel',63
,Ensanche de Vallecas - La Gavia',60,Ensanche de Vallecas - La Gavia',53
,Marroquina',47,Marroquina',42
,La Paz',14,La Paz',35
,Los Cármenes',50,Los Cármenes',41
,Alameda de Osuna',61,Alameda de Osuna',57
,Valdebernardo - Valderribas',53,Valdebernardo - Valderribas',48
,Apóstol Santiago',33,Apóstol Santiago',38
,Comillas',54,Comillas',42
,Vinateros',44,Vinateros',35
,Lucero',41,Lucero',40
,Cuatro Vientos',57,Cuatro Vientos',76
,Horcajo',54,Horcajo',52
,Opañel',50,Opañel',48
,Moscardó',51,Moscardó',50
,Ciudad Universitaria',39,Ciudad Universitaria',43
,San Isidro',52,San Isidro',45
,Media Legua',41,Media Legua',27
,Casco Histórico de Vicálvaro',48,Casco Histórico de Vicálvaro',44
,Almendrales',46,Almendrales',45
,Águilas',29,Águilas',67
,Campamento',43,Campamento',46
,Aluche',55,Aluche',53
,Fontarrón',49,Fontarrón',36
,Pavones',44,Pavones',39
,Vista Alegre',57,Vista Alegre',48
,Pradolongo',66,Pradolongo',58
,Ambroz',61,Ambroz',56
,El Cañaveral - Los Berrocales',76,El Cañaveral - Los Berrocales',66
,Numancia',48,Numancia',41
,Casco Histórico de Vallecas',50,Casco Histórico de Vallecas',39
,Puerta Bonita',63,Puerta Bonita',56
,Palomeras sureste',44,Palomeras sureste',33
,San Diego',57,San Diego',44
,Buena Vista',55,Buena Vista',63
,Palomeras Bajas',55,Palomeras Bajas',46
,Abrantes',61,Abrantes',45
,Fuentelarreina',48,Fuentelarreina',58
,Los Rosales',59,Los Rosales',50
,Santa Eugenia',58,Santa Eugenia',49
,Butarque',71,Butarque',65
,Zofío',56,Zofío',50
,Portazgo',47,Portazgo',46
,San Fermín',54,San Fermín',52
,Los Ángeles',68,Los Ángeles',56
,San Andrés',68,San Andrés',75
,12 de Octubre-Orcasur',59,12 de Octubre-Orcasur',50
,Orcasitas',68,Orcasitas',61
,San Cristóbal',62,San Cristóbal',61
,Entrevías',59,Entrevías',40
